abato	аббат.
fiasko	фиаско, провал, крах, полная неудача.
fibro	фибра, жилка, волокно.
fidela	1. преданный, верный; 2. правоверный; 3. точный, верный, достоверный;
fidi	vt полагаться на, (по)надеяться на;  доверяться, доверять, верить, иметь доверие, питать доверие;
fiera	гордый, горделивый.
figo	бот.  соплодие фикуса;  фига, инжир, смоква, винная ягода;
figuro	фигура; изображение; образ.
fikcio	фикция, вымысел, фантастика;
fiksi	vt 1. прикреплять, укреплять, закреплять, зафиксировать, фиксировать (тж. фот., но не «отмечать»!);  задерживать (взгляд);  назначать, устанавливать, определять (дату, срок);  2. биол.  усваивать (азот или двуокись углерода из атмосферы, напр., о растениях);
fiktiva	фиктивный, ненастоящий.
filantropo	филантроп;
filatelio	уст., см. filatelo.
filatelo	филателия, филателизм.
filharmonio	филармония.
filigrano	1. филигрань (проволочное кружево и изделие из него); 2. филигрань, водяной знак (на бумаге  = akvomarko);
filiko	бот.  папоротник.
filio	филиал, отделение (фирмы, организации и т.п.).
filmo	1. кинолента, киноплёнка, фотоплёнка (= filmobendo, filmostrio); 2. (кино)фильм, (кино)картина;
filo	сын.
filologo	филолог.
filozofo	философ;
filtri	vt фильтровать; процеживать.
finalo	разн.  финал; заключительная часть.
financo	обычно pl финансы, денежные средства, денежные дела.
fingro	палец;
fini	vt кончать, оканчивать, доканчивать, заканчивать, завершать, прекращать;
fiolo	склянка, пузырёк, колба, флакон (с длинным горлышком), фиал.
firma	Σ! 1¶  крепкий, твёрдый, прочный;  стойкий, устойчивый;  не(по)колебимый. 2¶  ~o  фирма см. firmao.
firmamento	небосвод, небесный свод, небесный купол; рел.  небесная твердь; 
firmao	фирма;
fisko	1. фиск, государственная казна;  2. налоговые органы, налоговая администрация, налоговое ведомство, налоговое управление (аппарат);
fistulo	мед. фистула; свищ.
fisxo	рыба;
fiziko	физика.
fiziologo	физиолог.
fizionomio	разн.  физиономия; перен.  лицо.
fjordo	геогр.  фиорд, фьорд.
flago	1. флаг, стяг;  морской флаг; 2. инф.  флажок;
flagri	vn 1. полыхать, пылать, пламенеть, гореть (трепеща, колеблясь, со вспышками);  трепетать, колебаться (о пламени, свете и т.п.);  2. трепетать, колебаться, трепыхаться, полоскаться (о флагах, парусах и т.п.);
flako	лужа, лужица.
flakono	флакон, пузырёк, склянка, колба.
flamo	пламя;
flanelo	текс.  фланель.
flanko	1. бок;  сторона;  склон (горы); 2. воен.  фланг;  3. мор.  борт;
flano	кул.  лепёшка; оладья, блин
flari	vt 1. обонять;  нюхать;  2. см.  enflari;
flati	vt льстить, угождать, угодничать;
flava	прям. , перен.  жёлтый;
flegi	vt 1. выхаживать (больного);  ухаживать (за кем-л. больным, беспомощным);  2. пестовать, ухаживать, холить;
flegmo	флегма.
fleksi	vt гнуть, сгибать, изгибать, выгибать;
fleksio	грам. флексия;
fliki	vt прям. , перен.  (за)латать, (по)чинить (заплатами);
flirti	vn 1. порхать;  2. развеваться, виться, трепыхаться, колыхаться;  3. флиртовать, ухаживать;
floko	клок.
floreno	флорин (монета).
floro	Σ! 1¶  цветок.  2¶  maj. Флора (др.-рим. богиня цветов;  жен. имя).  
floso	плот (для сплава, перевозки);
flugi	vn прям. , перен.  лететь, летать;  ~o  полёт;  ав.  рейс;
flui	vn прям. , перен.  течь, протекать (о реке);
fluido	1. физ.  текучая среда, текучая материя, текучее вещество, текучее тело;  2. физ. , псих.  флюид;
flustri	vt (про)шептать, (про)шушукать; (про)шелестеть;
fluto	флейта;
foiro	ярмарка (мероприятие).
fojno	сено.
fojo	раз.
foko	зоол.  тюлень; нерпа.
fokuso	геом., физ., фот.  фокус (тж. перен., но не «трюк»!).
folio	лист (растения, бумаги, металла и т.п., тж. полигр.);
folkloro	фольклор;
fondi	vt заложить, возвести (постройку, город); разн.  основать; учредить.
fonemo	фон. фонема;
fonetiko	лингв.  1. фонетика (раздел языкознания  = sonscienco);  2. см.  fonetismo;
fono	1. фон (основной цвет или фон, задний план, общая основа или обстановка); 2. физ. фон (акустическая единица уровня громкости звука).
fonografo	фонограф;
fonologio	лингв. 1. фонология; 2. см. fonetiko.1;
fontano	фонтан.
fonto	источник, исток;  родник, ключ;
for	adv 1. прочь, вон, долой; 2. обозначает отдаление, отдалённость в прямом и переносном смысле, а также исчезновение, отсутствие;
forgesi	vt забывать, забыть, позабыть.
forgxi	vt прям., перен.  ковать (но не «подковывать»!).
forko	1. вилка (тж. тех., но не штепсельная!);  2. развилка, развилок, развилина, развилье, разветвление;
formacio	1. геол.  формация;  2. анат.  формация, образование;  3. воен.  (войсковое) соединение, (войсковое) формирование, (войсковая) часть, (воинская) часть;
formala	разн.  формальный.
formato	формат, размер листа; инф.  разметка.
formiko	энт.  муравей;
formo	разн.  форма (но не «униформа»!);
formulo	1. разн.  формула;  2. формулировка (сформулированное положение);
fornelo	кухонная плита;
forno	1. печь;  печка;  горн;
forta	разн.  сильный;  крепкий;
fortepiano	уст., см. piano.
fortika	1. крепкий, прочный; 2. воен.  укреплённый, фортифицированный;
fortreso	воен. крепость;
fortuno	1. фортуна, удача, везение, счастливый случай; 2. фортуна, судьба, слепой случай;
forumo	разн.  форум.
fosforo	хим.  фосфор.
fosi	vt 1. рыть, копать; 2. вскапывать, копать; 3. копаться, рыться;
fosilio	палеонт. ископаемое, окаменелость;
fosto	столб (установленный для каких-л. нужд); стояк, косяк (двери, окна); свая; спорт.  боковая штанга (ворот), стойка (ворот).
fotelo	кресло (= apogsegxo, braksegxo);
foti	vt (с)фотографировать, снимать (фотоаппаратом).  
fotografi	vt (с)фотографировать, снимать (фотоаппаратом).
fragila	поэт. хрупкий, ломкий, непрочный (= facilrompa, rompigxema, malfortika);
fragmento	1. фрагмент, отрывок;  2. осколок, обломок;
frago	земляника; клубника; (плод, ягода).
frajo	икра (живая: рыб, лягушек и т.п.  = ovaro).
frakasi	vt 1. разбить (на куски;  вдребезги);  раздробить;  размозжить;  2. разгромить, сокрушить;
frakcio	1. мат.  дробь;  2. хим. , пол.  фракция;
frako	фрак.
frakseno	бот. ясень;
framasono	(франк)масон.
frambo	малина (плод).
framo	тех. рама; станина, остов (в виде рамы); лучок (лучковой пилы);
franco	француз;
frandi	vt (ion) лакомиться (чем-л.).
frangolo	бот. крушина ломкая;
frangxo	1. бахрома;  2. физ.  тёмная полоса при интерференции света;
franko	Σ! франк (денежная единица). // франк (представитель древней народности).
frapi	vt стучать;  ударять;  бить;  хлопать;  шлёпать;  фраппировать;  поражать, разить;
frato	брат (родной;  тж. перен.;  тж. о члене некоторых сообществ, организаций, религиозных объединений);
frauxlo	1. ист.  юноша-дворянин, состоящий при владетельной особе;  2. холостяк, неженатый (сущ.);
frazeologio	фразеология;
frazo	разн.  фраза.
fregato	1. мор.  фрегат;  2. орн.  птица-фрегат.  
frekventi	vt посещать, навещать, наведываться (регулярно, постоянно), захаживать, похаживать (= vizitadi);
fremda	чужой, чуждый; посторонний; чужеродный; инородный; иностранный.
freneza	прям., перен.  безумный, сумасшедший, умалишённый, помешанный, юродивый.
fresko	фреска (картина).
fresxa	разн.  свежий (но не «прохладный»!).
frida	холодный (= malvarma);
fringelo	орн. чиж.
fringo	орн. зяблик;
fripono	мошенник, жулик, плут, проходимец.
friso	Σ! 1. архит. , спец.  фриз;  2. театр.  супер (холст над сценой, имитирующий небо или потолок);  3. сомнит. ;  текс.  фриз (толстая ворсистая ткань). // фриз (представитель народности).  
friti	vt кул.  (за)жарить, изжарить, изжаривать, поджаривать во фритюре (т.е. в масле или жире).
frivola	фривольный, легкомысленный, ветреный, пустой.
frizi	vt завивать (волосы с помощью нагретого инструмента);
fromagxo	сыр.
fronto	фронт; перёд; передняя, лицевая часть; передняя, лицевая сторона; аверс, решка (монеты).
frontono	архит.  фронтон.
frosto	мороз, стужа; озноб; ~ig∙i  прям., перен.  (за)морозить, замораживать
froti	vt тереть, натирать, потирать;
frue	рано;
frugilego	орн.  грач (= kampokorvo).
frukto	1. бот.  плод (в узком смысле – настоящий плод;  в широком смысле – любой плод, т.е. также и ложный); 2. плод, фрукт; 3. перен.  плод (продукт;  результат);
frunto	лоб.
frustri	vt псих. фрустрировать, ввергать во фрустрацию;
ftizo	мед. чахотка, туберкулёз лёгких (= pulma tuberkulozo);
fugo	муз.  фуга.
fugxi	vn бежать т.е. спасаться бегством, сбегать, убегать, удирать, улепётывать;
fulgo	сажа;
fulmo	молния (= cxielfajro);
fumo	дым;
fundamento	1. прям. , перен.  фундамент, основание, основа; 2. maj «Фундаменто» (книги «Fundamenta gramatiko», «Ekzercaro» и «Universala Vortaro», объявленные на первом конгрессе эсперанто основой этого языка);
fundo	1. дно (поверхность;  слой); 2. дно, глубь, глубина (глубинная, нижняя, задняя, отдалённая часть;  тж. перен.);
funebro	траур, скорбь.
funelo	1. разн.  воронка;  спец.  раструб; 2. труба (граммофона  = sonfunelo);
fungo	гриб;  спец.  грибок;
funkcio	разн.  функция;
funto	1. фунт (единица массы во многих странах, имеющая различный размер – от 317,62 г до 560 г); 2. см.  pundo.  
furagxo	фураж, корм, корма (для скота);
furio	1. миф.  фурия (тж. о злой женщине);  2. редк. , см.  furiozo.  
furioza	яростный, разъярённый, буйный, свирепый, исступлённый, неистовый, бешеный, бесноватый, взбешённый.
furoro	фурор, шумный успех, бешеный успех;
furunko	мед.  фурункул, чирей.
furzi	vt пукать, пускать ветры, испускать газы (кишечные), груб. пердеть, бздеть;
fusilo	ружьё; ист. фузея;
fusteno	текс. бумазея.
fusto	1. архит. фуст, ствол, стержень (колонны = kolonfusto); 2. ложе, цевьё (ружья, арбалета и т.п.); 3. ножка, цевьё (канделябра, бокала и т.п.); 4. древко, шест (копья, флага и т.п.); 5. колодка (рубанка).
fusxi	vt (с)делать небрежно, кое-как, скверно; халтурить, (ис)портить.
futo	фут (мера длины);
futuro	1. грам. футурум, будущее время (глагола) (= estonteco, estonta tempo, venonta tempo, os-tempo); 2. будущее (сущ. = estonteco); 3. см. estontajxo;
gado	1. сушёная несолёная треска;  2. ихт.  треска (общее название);
gaja	весёлый
gajni	vt 1. выиграть;  выгадать; 2. привлечь на свою сторону, расположить в свою пользу; 3.: ~i (venton) мор.  поймать ветер, спускаться, уваливаться (направлять парусный корабль так, чтобы ветер делался более попутным);  4. редк. , см.  perlabori;
galaksio	астр. галактика;
galanterio	галантерея (изделия, товары);
galantino	кул.  студень, холодец, галантир.
galanto	бот. подснежник, галантус;
galerio	галерея.
galero	мор.  галера.
galimatio	галиматья, ахинея, белиберда.
galo	физиол.  жёлчь, желчь (тж. перен.).
galono	галун, галунная тесьма; воен. галун, нашивка, лычко, петлица;
galopi	vn галопировать; скакать галопом; ехать галопом; бежать (или идти) галопом;
galosxo	1. галоша;  2. башмак с деревянной подошвой;
gama	гамма (название буквы греч. алфавита).
gamasxo	гамаша, гетра.
gamo	муз.  гамма (тж. перен.).
gangreno	гангрена.
ganto	перчатка.
gapi	vn (al) глазеть (на), таращиться (на), пялиться (на); ротозейничать;
garagxo	1. авт. гараж; 2. ж.-д. депо;
garantii	1. vt гарантировать, обеспечивать; 2. vt гарантировать, предохранять; 3. vn гарантировать, ручаться;
garbo	сноп; пук, пучок.
gardi	vt хранить, охранять;  оберегать;  беречь;  стеречь;  караулить;
gargari	vt полоскать, прополаскивать (посуду, бельё); полоскать (горло, рот).
garni	vt снабжать (для усиления, улучшения, доведения до нормы); отделывать; украшать; кул.  гарнировать; заправлять, сдабривать.
garnituro	гарнитур; набор; комплект;
garnizono	воен.  1. гарнизон;  2. см.  ~ejo;
gaso	газ (но не ткань!);
gasometro	1. см.  gasnombrilo;  2. см.  gasrezervujo.  
gasto	гость; постоялец.
gastro	мед., анат. желудок (= stomako);
gastronomo	гастроном
gazelo	зоол.  газель.
gazeto	журнал;  газета;  (общее название любого печатного периодического издания, обычно информационного);
gazo	газ (ткань);  марля;
gelateno	хим.  желатин.
gemo	1. гемма, драгоценный камень, самоцветный камень, самоцвет (обычно об обработанном  = juvelsxtono, multekosta sxtono); 2. бот.  гемма;  хламидоспора;
genealogo	специалист по генеалогии;  составитель родословных;
generacio	поколение, генерация.
generalo	воен.  генерал.
generi	vt 1. биол. производить (на свет), плодить, (по)рождать (обычно о мужской особи = naskigi); 2. мат. образовывать (при перемещении = estigi.2, naski.3); 3. эл. производить, вырабатывать, генерировать (электроэнергию = produkti);
genetiko	биол. генетика;
genezo	1. генезис, происхождение, возникновение;  2. -генез (составная часть некоторых терминов греч. происхождения); 3. maj;  рел.  Бытие (книга Ветхого Завета);
genio	разн.  гений.
genisto	бот. дрок;
genitivo	грам.  родительный падеж, генитив.
geno	биол. ген;
genoto	зоол. генет(т)а.
genro	грам., биол. род;
gento	1. род, племя, народность; 2. см.  genro биол. ;
genuo	анат., тех.  колено; коленка.
geodezio	геодезия.
geofiziko	геофизика;
geografo	географ.
geologo	геолог.
geometro	1. геометр;  2. землемер (= termezuristo);  3. энт.  пяденица, землемер (бабочка);
geranio	бот.  герань.
gerilo	партизанская война (в испано- и португалоязычных странах называемая герильей = partizanmilito);
germano	немец, германец;
gerundio	грам.  герундий; деепричастие.
gesto	жест.
gicxeto	(задвижное) окошко (кассы, тюремной двери и т.п. = fenestreto; в широком смысле – место служащего за таким окошком или за стойкой в кассе, почтовой конторе и т.п.).
giganto	гигант, исполин, великан.
gildo	ист.  гильдия.
gilotino	гильотина.
gimnasto	гимнаст.
gimnazio	гимназия.
gineo	гинея (денежная единица).
gingivo	анат. десна (= dentokarno);
gipso	1. гипс (промышленный);  2. см.  gipsosxtono;
girlando	гирлянда.
gitaro	гитара.
glacea	глянцевитый, глянцевый, лощёный; глазированный (блестящий, но не «покрытый глазурью»!);
glacio	лёд;
glacxero	геол., геогр. глетчер, ледник;
gladi	vt гладить (утюгом), утюжить.
gladiatoro	ист.  гладиатор.
glando	анат., биол.  железа; желёзка.
glano	1. бот.  жёлудь;  2. анат.  головка (клитора или мужского полового члена);
glaso	стакан.
glata	гладкий, ровный.
glatiso	мет. гололёд, гололедица, наледь.
glavo	меч.
glazuro	тех., иск., кул.  глазурь.
glicerino	глицерин;
glicirizo	бот. солодка, лакричник;
glikozo	см. glukozo.
glimo	мин. слюда;
glisi	vn ав. планировать;
gliti	vn 1. скользить; 2. кататься по льду;  кататься на коньках (= glitumi, sketi);
globo	1. шар;  тех.  шар, шарик; 2. см.  globuso;
glori	vt славить, прославлять, восхвалять;
glui	vt клеить, склеивать, приклеивать, наклеивать;
glukozo	хим. глюкоза, виноградный сахар;
gluti	vt глотать, проглатывать;  поглощать;
gnomo	Σ! миф.  гном ( = terkoboldo, minkoboldo ). // лит.  гнома.
gobio	ихт.  пескарь.
golfo	Σ! залив. // спорт.  гольф.
gondolo	1. гондола (лодка);  2. см.  nacelo;
gonoreo	мед.  гонорея, триппер, перелой.
gorgxo	1. горло (тж. анат.);  горловина;  разг.  глотка; 2. узкий проход, теснина, ущелье, горловина;
gorilo	зоол.  горилла.
gotika	архит., полигр.  готический.
gracia	грациозный, изящный.
gradacio	лит. градация, восхождение, нарастание (стилистическая фигура).
grado	1. градус;  балл, деление (измерительной шкалы); 2. степень; 3.: tipara ~o полигр.  кегль; ср.  graduso .1;
grafiko	1. графика (вид изобразительного искусства;  часть учения о письме);  2. уст. , см.  grafismo;
grafito	мин.  графит;
grafo	Σ! граф (титул). // см.  grafeo.
grafologo	графолог;
grajno	1. прям. , перен.  зерно, зёрнышко;  крупица, крупинка; 2. семя, семечко (высохшее  = semgrajno);  3. пупырышек;  4. см.  grano;
graki	vn 1. каркать (о вороне  = korvokrii);  2. крякать (о человеке, хрипом прочищающем горло);
gramatiko	грамматика.
gramineo	бот. злак, злаковое растение;
gramo	грамм (мера массы).
gramofono	граммофон; патефон; проигрыватель;
granato	бот.  гранат, гранатина, плод гранатника.
granda	большой; крупный; великий.
grandioza	грандиозный.
granito	мин.  гранит.
graso	жир;  сало;  тук;
grati	vt 1. (о)царапать, расцарапывать, скрести (оставляя царапины, бороздки); 2. чесать, скрести (устраняя зуд); 3. см.  elgrati;  4. см.  prigrati;
gratuli	vt (pro io, okaze de io) поздравлять (с чем-л., по случаю чего-л.).
grava	1. важный, значительный, серьёзный; 2. тяжёлый, тяжкий, значительный, серьёзный;
graveda	1. беременная, тяжёлая;  стельная; 2. перен.  вынашивающий, носящий (или  несущий) в себе, отягощённый, чреватый;
graviti	vn физ. тяготеть, испытывать силу тяготения; перен. тяготеть, испытывать тяготение;
gravuri	vt 1. спец.  гравировать;  резать (по поверхности дерева, камня, металла и т.п.);  2. тех.  записывать (на грампластинку, вырезая в ней дорожки, канавки);  3. перен.  запечатлевать (в уме, памяти, сознании);
grefti	vt 1. с.-х. прививать, приживлять; 2. мед. пересаживать, приживлять, вживлять;
grego	стадо (скота), гурт;
greko	грек;
greno	1. бот.  хлебный злак;  жито, хлеб (растение  = panherbo); 2. (зерновой) хлеб;  жито, зерно (в собирательном значении);
grifelo	1. грифель (сланцевая палочка, карандаш для писания на аспидной доске  = ardezkrajono);  2. стило, стилус (палочка для писания на навощённой дощечке  = skribilo, skribbastoneto);  3. штихель, грабштихель, гравёрный резец (= gravurilo, gravurcxizilo);
grifo	1. орн.  гриф; 2. миф.  гриф, грифон;
grilo	энт.  сверчок.
grimaco	гримаса.
grimpi	vn 1. взбираться, вскарабкиваться, карабкаться, влезать, лезть;  2. бот.  взбираться, карабкаться (о растениях);
grinci	vn скрежетать, лязгать; визжать (о пиле, тормозах).
grio	крупа.
gripo	мед.  грипп, инфлюэнца (= influenco.1);
griza	1. серый; 2. седой;
grogo	грог (горячий алкогольный напиток).
groso	бот.  1. крыжовник (растение  = dorna ribo);  2. разг.  ягода крыжовника (= grosbero);
grosxo	грош (денежная единица).
groteska	1. гротескный, гротесковый;  2. сомнит. , см.  senserifa;
groto	грот, пещера.
grumbli	vn ворчать, брюзжать.
grumo	1. грум т.е.  стремянный, конюх-слуга;  2. грум т.е.  мальчик-прислужник.
grundo	1. грунт, почва; 2. грунт, твёрдое дно (водоёма);  3. жив.  грунт, фон (= fono.1);  4. мед.  фон, состояние организма (= fono.1);
grunti	vn хрюкать (= porkobleki).
gruo	1. орн.  журавль (птица);  2. тех.  подъёмный кран;  3. maj;  астр.  Журавль (созвездие);
grupo	разн.  группа;  воен.  группа;  отделение;  дивизион;
gruzo	Σ! 1. гравий (крупный песок с камешками); 2. крошка (раскрошенный твёрдый материал);  3. мед.  песок, камни (в почках, мочевом пузыре и т.п.);
gubernio	губерния.
gudro	гудрон, дёготь; смола;
gufo	орн.  филин.
gujavo	бот. гуайява, гуаява, гуава (дерево = gujavarbo, gujavujo; плод = gujavbero);
gulasxo	кул. гуляш.
guldeno	гульден (денежная единица).
gumo	1. камедь, гумми (сок некоторых деревьев, используемый как клей); 2. см.  kauxcxuko;  3. см.  frotgumo, skrapgumo;
gurdo	муз.  шарманка;
gusto	1. разн.  вкус; 2.: poemo en la ~o de Pusxkin стихотворение в духе Пушкина;
gutaperko	гуттаперча;
guto	1. прям. , перен.  капля; 2. архит.  гутта, капля (украшение в постройках дорического ордера);
guverni	vt воспитывать (чужого ребёнка, проживая в его семье).
gvardio	гвардия.
Gvatemalo	гп. Гватемала;
gvati	vt следить, караулить, наблюдать, вести наблюдение (скрытно или находясь на дежурстве);
gvidi	vt вести; вести за собой; править, управлять; руководить.
Gvineo	гп. Гвинея;
gxangalo	джунгли; перен. дебри, чаща, чащоба;
gxardeno	сад;
gxemelo	1. близнецы, двойняшки, двойня (= dunaskitoj); 2. перен. близнецы; 3. maj; астр. Близнецы (созвездие; знак зодиака);
gxemeloj	1. близнецы, двойняшки, двойня (= dunaskitoj); 2. перен. близнецы; 3. maj; астр. Близнецы (созвездие; знак зодиака);
gxemi	vn стонать; стенать; охать; кряхтеть.
gxendarmo	жандарм;
gxenerala	общий, всеобщий; поголовный; генеральный.
gxeni	vt стеснять, затруднять, тяготить, беспокоить, мешать;
gxenro	лит., жив. жанр;
gxentila	вежливый, учтивый.
gxermo	1. биол.  зародыш, зачаток (тж. перен.);  2. бот.  росток (тж. перен.);  pl всходы;  3. редк. , см.  sxoso;
gxi	pers pron оно;
gxibo	1. горб (у человека или животного);  2. бот.  выпуклость, выпуклина (на нижней губе венчика некоторых растений);
gxino	1. джин (английская водка); 2. миф. джин(н).
gxinzo	джинсы (= jxinso);
gxirafo	1. зоол.  жираф;  2. maj;  астр.  Жираф (созвездие);
gxiri	vt 1. фин.  жирировать, индоссировать, переводить на другое лицо, помечать передаточной надписью (ценные бумаги  = endosi);  переводить, перечислять (денежные суммы с одного счёта на другой);  2. разворачивать, поворачивать (транспортное средство, судно и т.п.), (с)делать вираж;  3. физ. , хим.  поворачивать плоскость поляризации;
gxis	1. prep до;  вплоть до; 2. subj (до тех пор) пока не;  (до тех пор) покуда не;  до того времени как;  до того времени когда;
gxoji	vn радоваться, испытывать радость.
gxui	vt наслаждаться.
gxusta	точный, правильный, верный.
ha	interj а!, ха!, ах!, ох! (выражение удивления от чего-л. хорошего или плохого); ~, ~, ~! ха-ха-ха! (смех; ирония; сильное проявление чувств);
hajlo	мет.  град (тж. перен.);
haki	vt рубить (но не избу и т.п.!);  сечь (топором, мечом и т.п.);  тесать (камень, дерево);  крошить (истреблять холодным оружием);
haladzo	чад, смрад, угар (угарный газ); смрад, удушливый запах (от гниения).
halebardo	ист. алебарда;
halo	1. зал, зала (для общественных нужд), холл; 2. стр. , архит.  перекрытие, крытый объём, каркасный навес (крыша, навес на отдельно стоящих опорах для размещения рынка, склада и т.п.).
haltero	1. спорт.  гантель; 2. энт.  жужжальца (атрофировавшаяся вторая пара крыльев у двукрылых насекомых);
halti	vn остановиться, (в)стать (перестать передвигаться, действовать).
hamako	гамак.
hamburgero	кул. гамбургер (= burgero).
hamstro	зоол.  хомяк.
handikapo	1. спорт. гандикап (невыгодное положение, в которое ставится более сильный участник соревнования для уравновешивания его шансов с другими участниками; соревнование, проводимое на таких условиях); 2. мед. физический или психический недостаток (ограничивающий возможности человека);
hangaro	ав. ангар, эллинг;
hardi	vt закалять, закаливать (сталь и т.п., тж. перен.).
haremo	гарем.
haringo	ихт. атлантическая сельдь (или селёдка); балтийская сельдь (или селёдка), салака;
harmoniko	муз.  1. гармоника, гармонь (общее название ряда музыкальных инструментов  = ancxharmoniko, blovharmoniko, busxharmoniko, frapharmoniko, tirharmoniko и т.п. ;  в узком смысле  – губная гармоника, губная гармошка = blovharmoniko, busxharmoniko); 2. см.  harmoniscienco.
harmonio	гармония (но не музыкальная дисциплина!);
harmoniumo	муз. гармониум, фисгармония.
haro	1. волос;  2. редк. , см.  ~aro;
harpio	миф., зоол. гарпия (тж. перен. о злой женщине).
harpo	арфа.
harpuno	гарпун, острога;
hasti	vn спешить, торопиться;
hauxbizo	воен.  гаубица; мортира.
hauxto	кожа;  кожица, кожура;  корка (плодов);
haveno	1. гавань, порт; 2. перен.  гавань, пристань, пристанище, прибежище;
havi	vt иметь; обладать, владеть.
hazardo	1. случай (непредвиденный, неожиданный), случайность, неожиданность (происшествие); 2. см.  hazardludo;
hebreo	еврей;
hedero	бот.  плющ.
hegemonio	гегемония, господство, превосходство;
hegxo	живая изгородь.
hej	interj эй!, гей!, хей!, веселей! (подбадривание, приглашение к веселью).
hejmo	1. дом, домашний очаг;  отчий дом;  свой дом; 2. дом (в некоторых играх  = bazo.3);
hejti	vt 1. топить (печку, плиту и т.п.;  комнату, дом и т.п.), отапливать, протапливать, прогревать;  2. накаливать, нагревать, прогревать (радиолампу и т.п.);
hekatombo	ист. гекатомба (тж. перен.).
heksametro	лит. гекзаметр.
hekto-	(перед гласными может принимать форму hekt-) спец. приставка гект(о)-, обозначающая единицу измерения, увеличенную по сравнению с исходной в сто раз: hekto/litro гектолитр; в некоторых терминах, не являющихся названиями единиц измерения, данный элемент представляет собой начальную часть корня со значением «сто» и в словарях не выделяется.
hela	яркий; ясный; светлый.
helico	1. геом.  винтовая линия (разновидность пространственной спирали);  2. тех.  линия винтовой (или  винтообразной) нарезки, линия винтовой (или  винтообразной) резьбы; 3. тех. , ав. , мор.  винт (лопастный);  пропеллер;
heliko	1. зоол.  улитка;  2. см.  kokleo;  3. спец.  «собака», «собачка», коммерческое «эт», знак «@» (= po-signo, volvita a);
helikoptero	ав. вертолёт, геликоптер;
heliotropo	бот., мин. гелиотроп.
helpi	vt (ion = al io, iun = al iu) помогать.
heni	vn ржать (о лошади = cxevalbleki);
hepato	анат.  печень, печёнка (орган).
heraldiko	геральдика, гербоведение (= balozonistiko).
herbario	гербарий.
herbo	1. трава; 2. разг.  травка (употребляемое в качестве наркотика травянистое растение, обычно о марихуане);
heredi	vt (у)наследовать;
herezo	ересь; лжеучение.
hermeta	см. hermetika.
hermetika	герметичный; герметический.
hernio	мед.  грыжа.
heroldo	герольд, глашатай, вестник;
heroo	герой;
hetmano	1. атаман (казачий  = cxefkozako, kozakestro);  2. ист.  гетман;  военачальник, воевода;  (= militestro).
heziti	vn колебаться, раздумывать, быть в нерешительности, проявлять нерешительность;
hiacinto	бот. гиацинт;
hibrido	гибрид, помесь.
hida	поэт. безобразный, отвратительный, мерзкий, ужасно некрасивый, отталкивающий (= forpusxe malbela, nauxze malbela);
hidrargo	хим. ртуть;
hidro	1. разн.  гидра;  2. maj: lana H~o астр.  Гидра (созвездие);
hidrofobio	мед. гидрофобия, водобоязнь (= akvofobio).
hidrogeno	хим. водород;
hidrostatiko	физ. гидростатика;
hidroterapio	мед. гидротерапия, водолечение (= akvoterapio);
hieno	зоол. гиена;
hierarhxio	иерархия.
hierarkio	иерархия;
hieraux	1. adv вчера; 2. см.  ~o;
hieroglifo	иероглиф.
higieno	гигиена;
higrometro	физ. гигрометр, влагомер;
higroskopo	физ.  гигроскоп;
himno	гимн.
hindo	индиец;
hiper-	словообразовательный элемент гипер- (иногда трактуемый как спец. приставка), являющийся начальной частью корня в некоторых терминах греч. происхождения и указывающий на превышение нормы; в данном словаре эта псевдоприставка не выделяется, даже если сочетается с эсперантским корнем: hipertensio;
hiperbolo	геом., лит. гипербола;
hipertrofio	разн.  гипертрофия, чрезмерное увеличение.
hipnoto	гипноз.
hipodromo	ипподром.
hipokriti	vt лицемерить, притворяться, притворствовать, лукавить, двуручничать.
hipopotamo	зоол.  бегемот, гиппопотам.
hipoteko	ипотека, право по ипотеке.
hipotezo	гипотеза.
hirta	взъерошенный, всклокоченный, растрёпанный, ощетиненный, топорщащийся, торчащий, лохматый, косматый, стоящий торчком (или  дыбом).
hirudo	зоол.  пиявка.
hirundo	орн.  ласточка.
hiskiamo	бот. белена;
hisopo	бот. иссоп;
hispano	испанец;
histerio	мед.  истерия.
historio	разн.  история.
histriko	зоол. дикобраз;
ho	interj о!; ох!;
hobio	хобби, любимое занятие, увлечение (= sxatokupo);
hobojo	муз. гобой.
hodiaux	1. adv сегодня, нынче; 2. см.  ~o;
hoko	1. крючок, крюк; 2. крюк, крючок (закрепляемый на дверном или оконном косяке крючок, на который навешивается ответная часть дверной или оконной петли в виде кольца);  планка со стержнем (закрепляемая на дверном или оконном косяке одна из двух планок петли, имеющая стержень, на который навешивается ответная планка с цилиндрической выемкой); 3. спорт.  хук (боксёрский удар  = hokbato, hokfrapo);
hola	interj эй!, алло!
holdo	мор.  трюм (= sxipkelo).
holmo	холм, пригорок (= monteto);
homeopato	мед.  гомеопат.
homo	человек;
homogena	гомогенный, однородный;
homonimo	лингв.  омоним.
honesta	честный, порядочный, добропорядочный.
honorario	гонорар, денежное вознаграждение.
honori	vt чтить, почитать.
honti	vn (je io, pri io, pro io) стыдиться (чего-л., из-за чего-л.), испытывать стыд (за что-л., из-за чего-л.);
hordeo	бот.  ячмень (растение; зёрна этого растения).
hordo	орда; полчище;
horizontala	горизонтальный;
horizonto	прям., перен.  горизонт; кругозор.
